project_id,title_clean,architect,city,country,typology,massing_type,climate_bin,year_completed,description_short,confidence_score
p_anjuman_school_teynampet_chennai_ksm_arc_1034548,Anjuman School,KSM Arch,Chennai,India,School,fragmented,tropical,2024,A modern educational facility focusing on sustainability and interactive learning.,0.8
p_anren_culture_center_for_sect_of_great_c_1032785,Anren Culture Center,N/A,Anren,China,Cultural Center,pavilion,tropical,2024,The Anren Culture Center serves as a modern cultural hub designed for community engagement and artistic expression.,0.8
p_antonio_raimondi_college_library_territo_1030084,Antonio Raimondi College Library,P,,,library,linear,tropical,2024,A modern library designed to foster academic collaboration and innovation.,0.8
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,As Above So Below,Khaa Kuo Huang And Ass,Hsinchu,Taiwan,Mixed-use,fragmented,tropical,2024,As Above So Below is a mixed-use architectural project designed to foster community interaction within an urban setting.,0.8
p_as_salam_mosque_archeground_ltd_1030739,As Salam Mosque,Archeground Ltd,Not specified,Bangladesh,Religious,linear,tropical,2024,As Salam Mosque is a modern mosque design by Archeground Ltd located in Bangladesh.,0.8
p_atipografia_threshold_and_treasure_galle_993445,Threshold and Treasure,Atipografia,Venice,Italy,Cultural,fragmented,temperate,2024,Threshold and Treasure is a contemporary cultural space in Venice designed to foster community engagement and artistic expression.,0.8
p_barrancos_mortuary_mesa_atelier_1033276,Barrancos Mortuary,Mesa Atelier,Barrancos,Spain,Cultural,fragmented,temperate,2024,The Barrancos Mortuary designed by Mesa Atelier is a cultural facility that serves as a space for remembrance and reflection.,0.8
p_basilica_di_massenzio_exhibition_pathway_1035088,Basilica Di Massenzio Exhibition Pathway,Unknown,Rome,Italy,cultural,linear,temperate,2024,The Basilica Di Massenzio Exhibition Pathway enhances visitor access to a significant historical site in Rome.,0.8
p_beijing_751_library_do_union_architectur_1020683,Beijing 751 Library,Do Union Architect,Beijing,China,Library,fragmented,temperate,2024,The Beijing 751 Library is a modern public library that emphasizes sustainability and community engagement.,0.85
p_beijing_sub_center_library_sn_hetta_1024024,Beijing Sub Center Library,Snøhetta,Beijing,China,Library,fragmented,temperate,2024,A modern public library designed to be a cultural hub for the Beijing Sub Center.,0.8
p_bloomberg_student_center_big_rockwell_gr_1035127,Bloomberg Student Center,Rockwell Group,Baltimore,United States,Student Center,courtyard,temperate,2024,The Bloomberg Student Center serves as a central hub for student activities and engagement at Baltimore.,0.8
p_brixen_public_library_carlana_mezzalira_1026833,Brixen Public Library,Carlana Mezzalira,Brixen,Italy,Library,linear,temperate,2024,The Brixen Public Library is a modern cultural hub designed to foster community engagement and learning.,0.8
p_calder_gardens_museum_herzog_de_meuron_1034362,Calder Gardens Museum,Herzog & de Meuron,Philadelphia,United States,Museum,fragmented,temperate,2024,Calder Gardens Museum is a modern cultural space designed by Herzog & de Meuron.,0.8
p_canopy_blue_temple_1035642,Canopy Blue Temple,Unknown Architect,Unknown City,Unknown Country,Religious,pavilion,tropical,2024,A serene temple designed to foster spiritual gatherings and community connection.,0.8
p_center_for_intangible_cultural_heritage_1035396,Center For Intangible Cultural Heritage,Unknown,Unknown City,South Korea,Cultural Center,fragmented,temperate,2024,A hub for the preservation and promotion of South Korea's intangible cultural heritage.,0.8
p_charlotte_william_bloomberg_medford_publ_987376,Charlotte William Bloomberg Medford Publ,Not Available,Medford,United States,Public Library,compact,temperate,2024,A modern public library designed for community engagement and resource accessibility.,0.8
p_chazal_school_renovation_and_playground_1035078,Chazal School Renovation And Playground,Not provided,Not provided,Belgium,school,linear,temperate,2024,"Renovation of Chazal School, enhancing learning spaces and incorporating a new playground.",0.8
p_chieng_ban_kindergarten_1_1_2_architects_1034717,Chieng Ban Kindergarten,1 1 2 Architects,Hanoi,Vietnam,educational,courtyard,tropical,2024,Chieng Ban Kindergarten is a modern educational facility designed for early childhood education in Hanoi.,0.8
p_china_national_convention_center_phase_i_1034910,China National Convention Center Phase I,Gensler,Beijing,China,convention center,fragmented,temperate,2024,The China National Convention Center Phase I features a modern design aimed at hosting large-scale events.,0.85
p_church_borderouge_studio_aqui_triptyque_1031762,Church Borderouge,Studio Aqui,Toulouse,France,Religious,fragmented,temperate,2024,The Church Borderouge is a modern religious structure serving the community with a focus on sustainability and interaction.,0.8
p_church_of_joy_department_of_architecture_1026972,Church Of Joy,Department Of Architecture,Bangkok,Thailand,Religious,courtyard,tropical,2024,The Church Of Joy serves as a modern religious space focusing on community and spirituality.,0.8
