project_id,title_clean,architect,city,country,typology,massing_type,climate_bin,year_completed,description_short,confidence_score
p_anjuman_school_teynampet_chennai_ksm_arc_1034548,Anjuman School Teynampet Chennai,KSM Arc,Chennai,India,school,fragmented,tropical,2024,Anjuman School Teynampet is a modern educational facility designed to enhance learning through innovative spaces.,0.9
p_anren_culture_center_for_sect_of_great_c_1032785,Anren Culture Center For Sect Of Great C,Design Institute of Landscape and Architecture,Anren,China,cultural center,fragmented,tropical,2024,The Anren Culture Center serves as a vibrant location for cultural activities and community engagement.,0.8
p_antonio_raimondi_college_library_territo_1030084,Antonio Raimondi College Library,Territo,Lima,Peru,library,linear,tropical,2024,A modern library designed to foster learning and collaboration among college students.,0.8
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,As Above So Below,Khaa Kuo Huang And Ass,Changhua,Taiwan,cultural,fragmented,tropical,2024,A cultural space designed for community interaction and artistic endeavors.,0.8
p_as_salam_mosque_archeground_ltd_1030739,As Salam Mosque,Archeground Ltd,unknown,Bangladesh,religious,fragmented,tropical,2024,As Salam Mosque is a contemporary mosque design focused on community interaction and worship.,0.8
p_atipografia_threshold_and_treasure_galle_993445,Atipografia Threshold And Treasure Galle,Atipografia,Galle,Sri Lanka,Cultural,fragmented,tropical,2024,A transformative cultural space in Galle that connects community and art.,0.8
p_barrancos_mortuary_mesa_atelier_1033276,Barrancos Mortuary,Mesa Atelier,Barrancos,Spain,Mortuary,fragmented,temperate,2024,A contemporary mortuary designed to facilitate memorial services in a tranquil environment.,0.8
p_basilica_di_massenzio_exhibition_pathway_1035088,Basilica Di Massenzio Exhibition Pathway,Unknown,Rome,Italy,Cultural,linear,Mediterranean,2024,A designed pathway for exhibitions at the Basilica Di Massenzio in Rome.,0.8
p_beijing_751_library_do_union_architectur_1020683,Beijing 751 Library,Do Union Architect,Beijing,China,library,fragmented,temperate,2024,The Beijing 751 Library is a modern public library designed to foster community engagement through innovative spaces.,0.85
p_beijing_sub_center_library_sn_hetta_1024024,Beijing Sub Center Library,Snøhetta,Beijing,China,Library,fragmented,temperate,2024,The Beijing Sub Center Library designed by Snøhetta is a modern cultural landmark that serves as a community hub.,0.8
p_bloomberg_student_center_big_rockwell_gr_1035127,Bloomberg Student Center,Rockwell Group,Baltimore,United States,student center,fragmented,temperate,2024,The Bloomberg Student Center is an innovative facility designed for student engagement and collaboration.,0.8
p_brixen_public_library_carlana_mezzalira_1026833,Brixen Public Library,Carlana Mezzalira,Brixen,Italy,library,fragmented,temperate,2024,The Brixen Public Library is a contemporary space designed to foster community engagement and learning.,0.8
p_calder_gardens_museum_herzog_de_meuron_1034362,Calder Gardens Museum,Herzog & de Meuron,Philadelphia,United States,Museum,fragmented,temperate,2024,Calder Gardens Museum is a modern art institution designed by Herzog & de Meuron in Philadelphia.,0.8
p_canopy_blue_temple_1035642,Canopy Blue Temple,Unknown,Unknown,Unknown,Religious,pavilion,tropical,2024,The Canopy Blue Temple is a spiritual structure that harmonizes with its natural surroundings and promotes community engagement.,0.8
p_center_for_intangible_cultural_heritage_1035396,Center For Intangible Cultural Heritage,Unknown Architect,Unknown City,South Korea,Cultural Center,linear,temperate,2024,A cultural center designed to celebrate and preserve intangible heritage.,0.8
p_charlotte_william_bloomberg_medford_publ_987376,Medford Public Library,Charlotte William Bloomberg,Medford,United States,library,linear,temperate,2024,A modern public library designed to foster community engagement and learning.,0.8
p_chazal_school_renovation_and_playground_1035078,Chazal School Renovation And Playground,Unknown,Brussels,Belgium,School,fragmented,temperate,2024,Renovation project focusing on both educational facilities and outdoor play areas.,0.8
p_chieng_ban_kindergarten_1_1_2_architects_1034717,Chieng Ban Kindergarten,1 1 2 Architects,Chieng Ban,Vietnam,school,courtyard,tropical,2024,A modern kindergarten designed with a focus on child-friendly spaces and sustainability.,0.8
p_china_national_convention_center_phase_i_1034910,China National Convention Center Phase I,Design Institute of Building and Planning,Beijing,China,Convention Center,clustered,temperate,2024,The China National Convention Center Phase I is a key exhibition venue in Beijing designed for hosting large events.,0.8
p_church_borderouge_studio_aqui_triptyque_1031762,Church Borderouge,Studio Aqui,Toulouse,France,Religious,fragmented,temperate,2024,Church Borderouge is a modern community church designed for worship and social gatherings.,0.8
p_church_of_joy_department_of_architecture_1026972,Church Of Joy,Department Of Architecture,Bangkok,Thailand,religious,pavilion,tropical,2024,The Church Of Joy is a modern religious building designed for community worship and events.,0.8
p_claremont_mckenna_college_robert_day_sci_1034623,Robert Day Science Center Exteriors,ZGF Architects,Claremont,United States,Educational Facility,linear,temperate,2024,The Robert Day Science Center at Claremont McKenna College serves as a hub for science education.,0.9
p_codec_training_centre_kuakata_community_1034720,Codec Training Centre Kuakata Community,Unknown,Kuakata,Bangladesh,Educational,clustered,tropical,2024,The Codec Training Centre in Kuakata serves as a community hub for education and skill development.,0.8
p_collector_s_house_museum_atelier_data_1024946,Collector S House Museum Atelier,Unknown,Unknown,Portugal,Museum,fragmented,temperate,2024,"A new museum and studio space for collectors, blending art and nature.",0.8
p_coonawarra_willam_aquatic_centre_ivanhoe_1035598,Coonawarra Willam Aquatic Centre,Willam Architects,Ivanhoe,Australia,Aquatic Centre,linear,temperate,2024,A state-of-the-art aquatic centre designed to serve the Ivanhoe community.,0.8
p_cube_workshop_building_civic_architects_1034679,Cube Workshop Building,Civic Architects,Amsterdam,Netherlands,workshop,fragmented,temperate,2024,Cube Workshop Building is a dynamic workspace designed to foster creativity and collaboration among artisans.,0.8
p_datta_vihara_shrine_karan_darda_architec_1029737,Datta Vihara Shrine,Karan Darda,Undisclosed,India,Religious,pavilion,tropical,2024,The Datta Vihara Shrine serves as a serene spiritual space that integrates with its natural surroundings.,0.85
p_david_rubenstein_treehouse_harvard_unive_1035475,David Rubenstein Treehouse,Renzo Piano,Cambridge,United States,educational,pavilion,temperate,2024,A unique treehouse-style educational facility at Harvard University.,0.8
p_devalera_library_and_suil_gallery_keith_1029820,Devalera Library And Suil Gallery,Keith,Unknown,Ireland,library,linear,temperate,2024,A contemporary library and gallery designed to foster community engagement and promote culture.,0.8
p_diriyah_art_futures_contemporary_art_hub_1023785,Diriyah Art Futures Contemporary Art Hub,Unknown,Diriyah,Saudi Arabia,Cultural,fragmented,arid,2024,"A contemporary art hub designed to foster cultural exchange and creativity in Diriyah, Saudi Arabia.",0.8
p_dom_turka_house_of_remembrance_tremend_1032509,Dom Turka House Of Remembrance,Tremend,Tremend,Poland,cultural,courtyard,temperate,2024,A contemporary cultural space designed for remembrance and reflection.,0.8
p_educational_area_of_the_exhibition_a_riv_1035308,Educational Area Of The Exhibition A Riv,Unknown,Unknown,Unknown,Educational,fragmented,temperate,2024,A modern educational facility designed to foster interactive learning through innovative exhibition spaces.,0.8
p_elementary_school_at_le_grand_lemps_fran_935357,Elementary School At Le Grand Lemps,Not specified,Le Grand Lemps,France,School,courtyard,temperate,2024,A modern elementary school designed to foster learning and interaction.,0.8
p_elisabeth_and_robert_badinter_elementary_1034682,Elisabeth And Robert Badinter Elementary,Unknown,Unknown City,France,School,linear,temperate,2024,A modern elementary school focused on sustainability and educational innovation.,0.8
p_event_hall_l_agora_and_ernest_hemingway_1029943,Event Hall L Agora,Unknown,Unknown,France,event hall,pavilion,temperate,2024,Event Hall L Agora is a contemporary multi-purpose venue for cultural and community events.,0.8
p_far_rockaway_library_sn_hetta_1022953,Far Rockaway Library,Snøhetta,Far Rockaway,United States,library,fragmented,temperate,2024,The Far Rockaway Library is designed as a vibrant community hub that provides educational resources and spaces.,0.8
p_fenix_art_museum_mad_architects_1030328,Fenix Art Museum,MAD Architects,Rotterdam,Netherlands,museum,fragmented,temperate,2024,"A contemporary art museum designed by MAD Architects, emphasizing connectivity with the urban environment.",0.85
p_five_finger_pavilion_yxdesigners_1034978,Five Finger Pavilion,Yxdesigners,,,pavilion,pavilion,temperate,2024,A modern pavilion designed for cultural exhibitions.,0.8
p_flower_on_hillside_community_library_st_1027318,Flower On Hillside Community Library,Unknown,Unknown,Unknown,library,fragmented,tropical,2024,A community library designed to blend with the hillside and provide a welcoming space for learning.,0.8
p_frihamnskyrkan_church_elding_oscarson_1025436,Frihamnskyrkan Church,Elding Oscarson,Gothenburg,Sweden,religious,fragmented,temperate,2024,Frihamnskyrkan Church is a contemporary religious structure designed by Elding Oscarson that integrates community functions within a serene environment.,0.8
p_gabrielle_roy_library_saucier_perrotte_a_1028861,Gabrielle Roy Library,Saucier Perrotte,Quebec City,Canada,library,fragmented,temperate,2024,The Gabrielle Roy Library is a modern public library designed to foster community engagement and knowledge sharing.,0.8
p_ganga_leheri_temple_abin_design_studio_1030472,Ganga Leheri Temple,Abin Design Studio,Kolkata,India,Religious,fragmented,tropical,2024,The Ganga Leheri Temple is a modern religious structure that embodies cultural significance.,0.8
p_gersthof_model_school_renovation_and_con_1034672,Gersthof Model School Renovation And Con,Unknown,Vienna,Austria,school,fragmented,temperate,2024,The Gersthof Model School renovation enhances educational facilities with a modern design.,0.8
p_gimle_4_student_housing_code_arkitektur_1034566,Gimle 4 Student Housing,Code Arkitektur,Oslo,Norway,Student Housing,linear,temperate,2024,"Gimle 4 is a modern student housing project in Oslo, designed to foster community among students.",0.8
p_grentschel_school_extension_ahaa_1034558,Grentschel School Extension,Ahaa,Baden,Switzerland,School,fragmented,temperate,2024,A modern extension to the Grentschel School enhancing educational facilities.,0.85
p_guir_y_ro_bocar_library_croixmariebourdo_1023026,Guir Y Ro Bocar Library Croixmariebourdo,P Guir Y Ro Bocar,Croixmariebourdo,Unknown Country,library,courtyard,temperate,2024,A modern library designed to foster community engagement and learning through innovative spaces.,0.8
p_h_jvangen_church_henning_larsen_espen_su_1031123,H Jvangen Church,Henning Larsen,Henning,Denmark,Religious,linear,temperate,2024,"H Jvangen Church is a modern, community-focused place of worship in Denmark, emphasizing natural materials and sustainability.",0.85
p_h_l_ne_carr_re_d_encausse_school_archi5_1035464,Re D Encausse School,Archi5,Hénin-Beaumont,France,school,linear,temperate,2024,A contemporary educational facility emphasizing community engagement and sustainability.,0.8
p_hadrovi_a_mosque_arhingin_enjering_1026861,Hadrovi A Mosque,Arhingin Enjering,Tivat,Montenegro,religious,fragmented,temperate,2024,A contemporary mosque designed to accommodate community worship and activities.,0.8
p_hagen_house_nendeln_cukrowicz_nachbaur_a_1034624,Hagen House Nendeln,Cukrowicz Nachbaur,Nendeln,Liechtenstein,Residential,compact,temperate,2024,Hagen House is a contemporary residential project designed to harmonize with its landscape.,0.8
p_haksanjae_private_library_and_residence_1032024,Haksanjae Private Library And Residence,P,,South Korea,library/residential,fragmented,temperate,2024,"A harmonious blend of a private library and residence, fostering both living and learning.",0.8
p_haus_der_digitalisierung_tulln_kronaus_m_1022449,Haus Der Digitalisierung,Kronaus M,Tulln,Austria,Cultural Center,fragmented,temperate,2024,Haus Der Digitalisierung is a new cultural center in Tulln designed for digital education and community engagement.,0.8
p_hiraya_pavilion_in_sapporo_ykaa_1035509,Hiraya Pavilion,Ykaa,Sapporo,Japan,Pavilion,pavilion,temperate,2024,Hiraya Pavilion is a cultural space in Sapporo that fosters interaction with the natural landscape.,0.8
p_hortensia_herrero_art_center_erre_1013611,Hortensia Herrero Art Center,Erre,Valencia,Spain,Cultural Center,fragmented,temperate,2024,The Hortensia Herrero Art Center is a contemporary cultural facility designed to foster community engagement through art.,0.85
p_huanglong_mountain_zisha_mineral_source_1023799,Huanglong Mountain Zisha Mineral Source,P,Nantong,China,Cultural,fragmented,temperate,2024,A cultural facility designed to showcase the mineral springs of Huanglong Mountain.,0.8
p_iljuk_presbyterian_church_oh_jongsang_1027121,Iljuk Presbyterian Church,Oh Jongsang,Iljuk,South Korea,Religious,fragmented,temperate,2024,Iljuk Presbyterian Church is a contemporary worship space designed to foster community engagement.,0.8
p_inglewood_bird_sanctuary_expansion_the_m_1035158,Inglewood Bird Sanctuary Expansion,M,Calgary,Canada,Cultural,clustered,temperate,2024,The Inglewood Bird Sanctuary Expansion enhances educational and observational facilities in a natural setting.,0.8
p_intervention_of_the_yulin_courtyard_hous_1021229,Intervention Of The Yulin Courtyard House,Unknown,Yulin,China,Residential,courtyard,tropical,2024,A renovation project focusing on enhancing the traditional courtyard house.,0.8
p_ixcampus_design_school_same_architectes_1035289,Ixcampus Design School,Same Architectes,Paris,France,school,linear,temperate,2024,A design school fostering creativity and collaboration in a modern setting.,0.8
p_jackson_hole_history_museum_hga_1027334,Jackson Hole History Museum,HGA,Jackson,United States,museum,linear,temperate,2024,The Jackson Hole History Museum serves as a cultural hub showcasing the region's rich history.,0.8
p_james_baldwin_media_library_and_refugee_1030349,James Baldwin Media Library And Refugee,P,Paris,France,Library,fragmented,temperate,2024,A multifaceted media library designed to support refugees and promote community engagement in Paris.,0.8
p_jami_at_taqwa_mosque_cibinong_ismail_sol_1034505,Jami At Taqwa Mosque Cibinong,Ismail Sol,Cibinong,Indonesia,Mosque,fragmented,tropical,2024,A modern mosque designed to serve the Cibinong community with an emphasis on sustainability.,0.8
p_jean_ric_edelman_fossil_park_museum_enne_1029467,Edelman Fossil Park Museum,Enne,Mantua,United States,Museum,fragmented,temperate,2024,The Edelman Fossil Park Museum celebrates the richness of fossils through innovative exhibition spaces.,0.8
p_judicial_morgue_for_the_city_of_ver_ofic_1030759,Judicial Morgue For The City Of Ver,Unknown,Ver Ofic,Argentina,institutional,compact,temperate,2024,The Judicial Morgue for the City of Ver is designed to provide essential forensic services within a public health framework.,0.8
p_jules_verne_school_barr_lambot_architect_1035346,Jules Verne School,Barr Lambot Architect,Nantes,France,school,compact,temperate,2024,Jules Verne School is designed to foster a collaborative educational environment.,0.8
p_kampung_mrican_phase_1_and_microlibrary_1031619,Kampung Mrican Phase 1 And Microlibrary,Unknown,Yogyakarta,Indonesia,Microlibrary,courtyard,tropical,2024,"A community-focused microlibrary in Yogyakarta, designed to promote literacy and shared spaces.",0.8
p_kiihtelysvaara_church_luo_architects_1030415,Kiihtelysvaara Church,Luo Architects,Kiihtelysvaara,Finland,Religious,compact,temperate,2024,A contemporary church designed to serve as a community hub in Kiihtelysvaara.,0.8
p_kushtia_neighborhood_mosque_ahsan_habib_1025782,Kushtia Neighborhood Mosque,Ahsan Habib,Kushtia,Bangladesh,Religious,courtyard,tropical,2024,"A modern neighborhood mosque designed to serve the local community in Kushtia, Bangladesh.",0.8
