project_id,title,country,climate_bin,typology,massing_type,wwr_band,image_ids,plan_ids,tags
p_big_8house,8 House,Denmark,temperate_oceanic,midrise_housing,perimeter_block,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['courtyard','mixed_use']"
p_mvrdv_markthal,Markthal,Netherlands,temperate_oceanic,mixed_use,courtyard,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['market','residential']"
p_sanaa_rolex,Rolex Learning Center,Switzerland,temperate_oceanic,education,slab,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['free_plan','undulating_floor']"
p_oma_casadamusica,Casa da Música,Portugal,mediterranean,cultural,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['concert_hall']"
p_kahn_salk,Salk Institute,USA,mediterranean,education,bar,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['courtyard','laboratory']"
p_mies_barcelona,Barcelona Pavilion,Spain,mediterranean,cultural,pavilion,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['exhibition','modernism']"
p_ando_churchlight,Church of the Light,Japan,humid_subtropical,religious,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['concrete','cross_light']"
p_kere_gando,Gando Primary School,Burkina Faso,hot_semiarid,education,courtyard,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['brick','natural_ventilation']"
p_lacatonfrac,FRAC Nord-Pas de Calais,France,temperate_oceanic,cultural,hall,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['adaptive_reuse','glass_facade']"
p_corbu_unite,Unité d'Habitation,France,mediterranean,midrise_housing,slab,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['pilotis','brise_soleil']"
p_oma_seattlelibrary,Seattle Central Library,USA,temperate_oceanic,library,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['atrium','stacked_program','glass_facade']"
p_oma_cctv,CCTV Headquarters,China,humid_continental,office,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['loop_tower','megatruss','diagrid']"
p_oma_kunsthal,Kunsthal Rotterdam,Netherlands,temperate_oceanic,cultural,bar,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['ramps','free_plan','urban_stitch']"
p_sanaa_21c_kanazawa,"21st Century Museum of Contemporary Art, Kanazawa",Japan,humid_subtropical,museum,pavilion,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['circular_plan','glass_perimeter','programmatic_rooms']"
p_sanaa_newmuseum,New Museum,USA,humid_subtropical,museum,stacked_boxes,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['shifted_volumes','perforated_metal','urban_infill']"
p_ando_chichu,Chichu Art Museum,Japan,humid_subtropical,museum,submerged_object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['toplight','concrete','courtyard_voids']"
p_hdm_tate_switch,Tate Modern Switch House,UK,temperate_oceanic,museum,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['brick_lattice','adaptive_reuse','public_terrace']"
p_hdm_vitrahaus,VitraHaus,Germany,temperate_oceanic,cultural,stacked_bars,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['pitched_roof_bars','stacking','showroom']"
p_mvrdv_mirador,Mirador,Spain,mediterranean,midrise_housing,tower,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['sky_courtyard','void','mixed_unit_types']"
p_mvrdv_wozoco,WoZoCo,Netherlands,temperate_oceanic,midrise_housing,slab,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['cantilevered_units','elderly_housing','façade_play']"
