project_id,title_clean,architect,city,country,typology,massing_type,climate_bin,year_completed,description_short,confidence_score
p_anjuman_school_teynampet_chennai_ksm_arc_1034548,Anjuman School,KSM Arc,Chennai,India,school,linear,tropical,2024,"Anjuman School is an innovative educational facility in Chennai, designed for modern teaching methods.",0.8
p_anren_culture_center_for_sect_of_great_c_1032785,Anren Culture Center For Sect Of Great C,Unknown,Anren,China,Cultural Center,fragmented,tropical,2024,A cultural center designed to host community and educational events in Anren.,0.8
p_antonio_raimondi_college_library_territo_1030084,Antonio Raimondi College Library,Territo,Not Provided,Not Provided,Library,linear,temperate,2024,Antonio Raimondi College Library is a modern academic facility designed to foster learning and collaboration among students.,0.8
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,As Above So Below,Khaa Kuo Huang And Associates,Hsinchu,Taiwan,Cultural,fragmented,tropical,2024,As Above So Below is a cultural project that harmonizes architecture with nature.,0.85
p_anjuman_school_teynampet_chennai_ksm_arc_1034548,Anjuman School Teynampet Chennai,KSM Arc,Chennai,India,school,fragmented,tropical,2024,Anjuman School Teynampet is a modern educational facility designed to enhance learning through innovative spaces.,0.9
p_as_salam_mosque_archeground_ltd_1030739,As Salam Mosque,Archeground Ltd,Comilla,Bangladesh,Religious,fragmented,tropical,2024,A modern mosque designed to serve the community with a focus on sustainability.,0.8
p_anren_culture_center_for_sect_of_great_c_1032785,Anren Culture Center For Sect Of Great C,Design Institute of Landscape and Architecture,Anren,China,cultural center,fragmented,tropical,2024,The Anren Culture Center serves as a vibrant location for cultural activities and community engagement.,0.8
p_atipografia_threshold_and_treasure_galle_993445,Threshold and Treasure,Atipografia,Venice,Italy,cultural,fragmented,temperate,2024,Threshold and Treasure is a cultural architectural project designed to blend artistic engagement with community interaction.,0.9
p_antonio_raimondi_college_library_territo_1030084,Antonio Raimondi College Library,Territo,Lima,Peru,library,linear,tropical,2024,A modern library designed to foster learning and collaboration among college students.,0.8
p_barrancos_mortuary_mesa_atelier_1033276,Barrancos Mortuary,Mesa Atelier,,,cultural,fragmented,temperate,2024,The Barrancos Mortuary offers a serene space for remembrance integrated with the landscape.,0.8
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,As Above So Below,Khaa Kuo Huang And Ass,Changhua,Taiwan,cultural,fragmented,tropical,2024,A cultural space designed for community interaction and artistic endeavors.,0.8
p_basilica_di_massenzio_exhibition_pathway_1035088,Basilica Di Massenzio Exhibition Pathway,Unknown,Rome,Italy,Cultural,linear,temperate,2024,The Basilica Di Massenzio Exhibition Pathway is a newly designed cultural space that enhances visitor experience in a historic setting.,0.8
p_as_salam_mosque_archeground_ltd_1030739,As Salam Mosque,Archeground Ltd,unknown,Bangladesh,religious,fragmented,tropical,2024,As Salam Mosque is a contemporary mosque design focused on community interaction and worship.,0.8
p_beijing_751_library_do_union_architectur_1020683,Beijing 751 Library,Do Union Architect,Beijing,China,library,fragmented,temperate,2024,The Beijing 751 Library is a public library designed to foster community engagement through flexible spaces.,0.8
p_atipografia_threshold_and_treasure_galle_993445,Atipografia Threshold And Treasure Galle,Atipografia,Galle,Sri Lanka,Cultural,fragmented,tropical,2024,A transformative cultural space in Galle that connects community and art.,0.8
p_beijing_sub_center_library_sn_hetta_1024024,Beijing Sub Center Library,Snøhetta,Beijing,China,Library,fragmented,temperate,2024,A modern library designed to serve the cultural and informational needs of the Beijing Sub Center.,0.85
p_bloomberg_student_center_big_rockwell_gr_1035127,Bloomberg Student Center,Rockwell Group,Baltimore,United States,student center,fragmented,temperate,2024,A contemporary student center fostering collaboration and innovation at Johns Hopkins University.,0.8
p_barrancos_mortuary_mesa_atelier_1033276,Barrancos Mortuary,Mesa Atelier,Barrancos,Spain,Mortuary,fragmented,temperate,2024,A contemporary mortuary designed to facilitate memorial services in a tranquil environment.,0.8
p_brixen_public_library_carlana_mezzalira_1026833,Brixen Public Library,Carlana Mezzalira,Brixen,Italy,Library,fragmented,temperate,2024,A modern public library designed to serve the community of Brixen with innovative spaces.,0.8
p_basilica_di_massenzio_exhibition_pathway_1035088,Basilica Di Massenzio Exhibition Pathway,Unknown,Rome,Italy,Cultural,linear,Mediterranean,2024,A designed pathway for exhibitions at the Basilica Di Massenzio in Rome.,0.8
p_calder_gardens_museum_herzog_de_meuron_1034362,Calder Gardens Museum,Herzog & de Meuron,Philadelphia,United States,museum,pavilion,temperate,2024,The Calder Gardens Museum is a new cultural institution dedicated to the works of Alexander Calder.,0.8
p_beijing_751_library_do_union_architectur_1020683,Beijing 751 Library,Do Union Architect,Beijing,China,library,fragmented,temperate,2024,The Beijing 751 Library is a modern public library designed to foster community engagement through innovative spaces.,0.85
p_canopy_blue_temple_1035642,Canopy Blue Temple,Unknown Architect,Unknown City,Unknown Country,Religious,pavilion,tropical,2024,The Canopy Blue Temple is a modern religious structure designed for community engagement.,0.8
p_beijing_sub_center_library_sn_hetta_1024024,Beijing Sub Center Library,Snøhetta,Beijing,China,Library,fragmented,temperate,2024,The Beijing Sub Center Library designed by Snøhetta is a modern cultural landmark that serves as a community hub.,0.8
p_center_for_intangible_cultural_heritage_1035396,Center For Intangible Cultural Heritage,Not Provided,Not Provided,Not Provided,cultural center,fragmented,temperate,2024,A cultural center dedicated to preserving and celebrating intangible cultural heritage.,0.8
p_bloomberg_student_center_big_rockwell_gr_1035127,Bloomberg Student Center,Rockwell Group,Baltimore,United States,student center,fragmented,temperate,2024,The Bloomberg Student Center is an innovative facility designed for student engagement and collaboration.,0.8
p_charlotte_william_bloomberg_medford_publ_987376,Charlotte William Bloomberg Medford Publ,Charlotte William,Medford,United States,Public Library,linear,temperate,2024,A contemporary public library designed to foster community engagement through innovative spaces and sustainable design.,0.8
p_brixen_public_library_carlana_mezzalira_1026833,Brixen Public Library,Carlana Mezzalira,Brixen,Italy,library,fragmented,temperate,2024,The Brixen Public Library is a contemporary space designed to foster community engagement and learning.,0.8
p_chazal_school_renovation_and_playground_1035078,Chazal School Renovation And Playground,Unknown,Brussels,Belgium,School,fragmented,temperate,2024,The Chazal School renovation rejuvenates educational spaces and enhances outdoor functionality.,0.8
p_calder_gardens_museum_herzog_de_meuron_1034362,Calder Gardens Museum,Herzog & de Meuron,Philadelphia,United States,Museum,fragmented,temperate,2024,Calder Gardens Museum is a modern art institution designed by Herzog & de Meuron in Philadelphia.,0.8
p_chieng_ban_kindergarten_1_1_2_architects_1034717,Chieng Ban Kindergarten,1 1 2 Architects,Chieng Ban,Vietnam,school,courtyard,tropical,2024,"Chieng Ban Kindergarten, designed by 1 1 2 Architects, is a modern educational facility emphasizing interaction and play.",0.8
p_canopy_blue_temple_1035642,Canopy Blue Temple,Unknown,Unknown,Unknown,Religious,pavilion,tropical,2024,The Canopy Blue Temple is a spiritual structure that harmonizes with its natural surroundings and promotes community engagement.,0.8
p_china_national_convention_center_phase_i_1034910,China National Convention Center Phase I,UNKNOWN,Beijing,China,Convention Center,linear,temperate,2024,The China National Convention Center Phase I provides an expansive venue for large events.,0.8
p_center_for_intangible_cultural_heritage_1035396,Center For Intangible Cultural Heritage,Unknown Architect,Unknown City,South Korea,Cultural Center,linear,temperate,2024,A cultural center designed to celebrate and preserve intangible heritage.,0.8
p_church_borderouge_studio_aqui_triptyque_1031762,Church Borderouge,Studio Aqui Triptyque,Toulouse,France,Religious,fragmented,temperate,2024,A modern church in Toulouse designed to foster community engagement.,0.8
p_charlotte_william_bloomberg_medford_publ_987376,Medford Public Library,Charlotte William Bloomberg,Medford,United States,library,linear,temperate,2024,A modern public library designed to foster community engagement and learning.,0.8
p_church_of_joy_department_of_architecture_1026972,Church Of Joy,Department Of Architecture,Bangkok,Thailand,Religious,pavilion,tropical,2024,A modern religious space designed for community engagement and worship.,0.8
p_chazal_school_renovation_and_playground_1035078,Chazal School Renovation And Playground,Unknown,Brussels,Belgium,School,fragmented,temperate,2024,Renovation project focusing on both educational facilities and outdoor play areas.,0.8
p_claremont_mckenna_college_robert_day_sci_1034623,Claremont McKenna College Robert Day Science Center,Kier & Wright,Claremont,United States,Educational building,courtyard,temperate,2024,The Robert Day Science Center at Claremont McKenna College offers innovative spaces for modern education in the sciences.,0.85
p_chieng_ban_kindergarten_1_1_2_architects_1034717,Chieng Ban Kindergarten,1 1 2 Architects,Chieng Ban,Vietnam,school,courtyard,tropical,2024,A modern kindergarten designed with a focus on child-friendly spaces and sustainability.,0.8
p_codec_training_centre_kuakata_community_1034720,Codec Training Centre Kuakata Community,Unknown,Kuakata,Bangladesh,Community Center,pavilion,tropical,2024,The Codec Training Centre serves as a hub for community learning and development.,0.8
p_china_national_convention_center_phase_i_1034910,China National Convention Center Phase I,Design Institute of Building and Planning,Beijing,China,Convention Center,clustered,temperate,2024,The China National Convention Center Phase I is a key exhibition venue in Beijing designed for hosting large events.,0.8
p_collector_s_house_museum_atelier_data_1024946,Collector S House Museum Atelier,P,Unknown City,Portugal,museum,linear,temperate,2024,A cultural space designed to showcase art while also providing a studio for artists.,0.8
p_church_borderouge_studio_aqui_triptyque_1031762,Church Borderouge,Studio Aqui,Toulouse,France,Religious,fragmented,temperate,2024,Church Borderouge is a modern community church designed for worship and social gatherings.,0.8
p_coonawarra_willam_aquatic_centre_ivanhoe_1035598,Coonawarra Willam Aquatic Centre,P,Ivanhoe,Australia,aquatic center,linear,temperate,2024,Coonawarra Willam Aquatic Centre is a modern recreational facility designed for community use.,0.8
p_cube_workshop_building_civic_architects_1034679,Cube Workshop Building,Civic Architects,Amsterdam,Netherlands,Workplace,fragmented,temperate,2024,"The Cube Workshop Building is a modern workplace designed by Civic Architects, emphasizing collaboration and sustainability.",0.8
p_datta_vihara_shrine_karan_darda_architec_1029737,Datta Vihara Shrine,Karan Darda,Unknown,India,Religious,clustered,tropical,2024,A contemporary shrine designed to serve as a spiritual and communal space.,0.85
p_david_rubenstein_treehouse_harvard_unive_1035475,David Rubenstein Treehouse,Hargreaves Associates,Cambridge,United States,educational,pavilion,temperate,2024,The David Rubenstein Treehouse is an innovative educational facility at Harvard University.,0.8
p_devalera_library_and_suil_gallery_keith_1029820,Devalera Library And Suil Gallery,Keith,Unknown,Ireland,Library,fragmented,temperate,2024,A modern library and gallery designed to foster community engagement through literature and art.,0.8
p_church_of_joy_department_of_architecture_1026972,Church Of Joy,Department Of Architecture,Bangkok,Thailand,religious,pavilion,tropical,2024,The Church Of Joy is a modern religious building designed for community worship and events.,0.8
p_diriyah_art_futures_contemporary_art_hub_1023785,Diriyah Art Futures Contemporary Art Hub,Unknown,Diriyah,Saudi Arabia,Cultural,fragmented,arid,2024,A contemporary art hub designed to foster creativity and cultural exchange.,0.8
p_claremont_mckenna_college_robert_day_sci_1034623,Robert Day Science Center Exteriors,ZGF Architects,Claremont,United States,Educational Facility,linear,temperate,2024,The Robert Day Science Center at Claremont McKenna College serves as a hub for science education.,0.9
p_dom_turka_house_of_remembrance_tremend_1032509,Dom Turka House Of Remembrance,Tremend,Tremend,Poland,Cultural,compact,temperate,2024,The Dom Turka House Of Remembrance is designed as a cultural monument for reflection and commemoration.,0.8
p_codec_training_centre_kuakata_community_1034720,Codec Training Centre Kuakata Community,Unknown,Kuakata,Bangladesh,Educational,clustered,tropical,2024,The Codec Training Centre in Kuakata serves as a community hub for education and skill development.,0.8
p_educational_area_of_the_exhibition_a_riv_1035308,Educational Area Of The Exhibition A Riv,Unknown,Unknown,Unknown,Education,fragmented,temperate,2024,An educational area designed to promote interactive learning within an exhibition.,0.8
p_collector_s_house_museum_atelier_data_1024946,Collector S House Museum Atelier,Unknown,Unknown,Portugal,Museum,fragmented,temperate,2024,"A new museum and studio space for collectors, blending art and nature.",0.8
p_elementary_school_at_le_grand_lemps_fran_935357,Elementary School At Le Grand Lemps,Unknown Architect,Le Grand Lemps,France,School,courtyard,temperate,2024,A modern elementary school designed to foster collaborative learning.,0.8
p_coonawarra_willam_aquatic_centre_ivanhoe_1035598,Coonawarra Willam Aquatic Centre,Willam Architects,Ivanhoe,Australia,Aquatic Centre,linear,temperate,2024,A state-of-the-art aquatic centre designed to serve the Ivanhoe community.,0.8
p_elisabeth_and_robert_badinter_elementary_1034682,Elisabeth And Robert Badinter Elementary,Unknown,Unknown,France,School,courtyard,temperate,2024,The Elisabeth And Robert Badinter Elementary combines modern educational spaces with sustainable design principles.,0.8
p_cube_workshop_building_civic_architects_1034679,Cube Workshop Building,Civic Architects,Amsterdam,Netherlands,workshop,fragmented,temperate,2024,Cube Workshop Building is a dynamic workspace designed to foster creativity and collaboration among artisans.,0.8
p_event_hall_l_agora_and_ernest_hemingway_1029943,Event Hall L Agora,Héctor Fernández Elorza,Nîmes,France,Event Hall,pavilion,temperate,2024,A modern event hall designed for multifunctional use in Nîmes.,0.8
p_datta_vihara_shrine_karan_darda_architec_1029737,Datta Vihara Shrine,Karan Darda,Undisclosed,India,Religious,pavilion,tropical,2024,The Datta Vihara Shrine serves as a serene spiritual space that integrates with its natural surroundings.,0.85
p_david_rubenstein_treehouse_harvard_unive_1035475,David Rubenstein Treehouse,Renzo Piano,Cambridge,United States,educational,pavilion,temperate,2024,A unique treehouse-style educational facility at Harvard University.,0.8
p_far_rockaway_library_sn_hetta_1022953,Far Rockaway Library,Sn Hetta,Far Rockaway,United States,library,fragmented,temperate,2024,A modern library designed to serve as a community hub in Far Rockaway.,0.8
p_devalera_library_and_suil_gallery_keith_1029820,Devalera Library And Suil Gallery,Keith,Unknown,Ireland,library,linear,temperate,2024,A contemporary library and gallery designed to foster community engagement and promote culture.,0.8
p_fenix_art_museum_mad_architects_1030328,Fenix Art Museum,MAD Architects,Rotterdam,Netherlands,museum,fragmented,temperate,2024,"The Fenix Art Museum by MAD Architects is a contemporary cultural space in Rotterdam, focusing on art and community.",0.8
